model,batch,streams,throughput_qps,gpu_compute_mean_ms,gpu_compute_p99_ms
yolo26n,1,1,2339.81,0.425883,0.427246
yolo26n,1,2,3823.46,0.521591,0.52832
yolo26n,1,4,6444.04,0.613175,0.629883
yolo26n,1,8,9014.32,0.85974,0.901123
yolo26n,8,1,1424.29,0.700607,0.70166
yolo26n,8,2,1714.92,1.16424,1.19824
yolo26n,8,4,1897.96,2.09094,2.16699
yolo26n,8,8,1914.72,4.17029,4.38379
yolo26n,16,1,965.933,1.03377,1.03613
yolo26n,16,2,1039.12,1.92294,2.03076
yolo26n,16,4,1038.38,3.8489,4.07422
yolo26n,16,8,930.952,8.58265,9.06934
yolo26n,32,1,563.403,1.77342,1.77783
yolo26n,32,2,579.432,3.44972,3.53418
yolo26n,32,4,515.872,7.74603,8.55371
yolo26n,32,8,430.801,18.5391,19.2817
