model,batch,qps,img_per_s,mean_ms,median_ms,p99_ms
yolo26n,1,2313.36,2313.36,0.431,0.431,0.431
yolo26n,4,1828.4,7313.6,0.545,0.546,0.547
yolo26n,8,1423.63,11389.04,0.701,0.701,0.703
yolo26n,16,972.305,15556.88,1.027,1.027,1.029
yolo26n,32,562.82,18010.24,1.775,1.775,1.783
yolo26n,64,286.816,18356.224,3.485,3.485,3.494
yolo26n,128,132.978,17021.184,7.519,7.518,7.541
yolo26n,256,62.487,15996.774,16.002,15.999,16.039
yolo26s,1,1858.18,1858.18,0.537,0.537,0.538
yolo26s,4,1209.72,4838.88,0.825,0.825,0.827
yolo26s,8,822.024,6576.192,1.215,1.215,1.218
yolo26s,16,475.271,7604.336,2.103,2.103,2.108
yolo26s,32,236.108,7555.456,4.234,4.233,4.25
yolo26s,64,110.267,7057.088,9.067,9.07,9.112
yolo26s,128,52.865,6766.746,18.915,18.915,18.993
yolo26s,256,25.423,6508.186,39.334,39.333,39.375
