model,batch,streams,throughput_qps,gpu_compute_mean_ms,gpu_compute_p99_ms
yolo26n,1,1,2339.81,0.425883,0.427246
yolo26n,1,2,3823.46,0.521591,0.52832
yolo26n,1,4,6444.04,0.613175,0.629883
yolo26n,1,8,9014.32,0.85974,0.901123
yolo26n,8,1,1424.29,0.700607,0.70166
yolo26n,8,2,1714.92,1.16424,1.19824
yolo26n,8,4,1897.96,2.09094,2.16699
yolo26n,8,8,1914.72,4.17029,4.38379
yolo26n,16,1,965.933,1.03377,1.03613
yolo26n,16,2,1039.12,1.92294,2.03076
yolo26n,16,4,1038.38,3.8489,4.07422
yolo26n,16,8,930.952,8.58265,9.06934
yolo26n,32,1,563.403,1.77342,1.77783
yolo26n,32,2,579.432,3.44972,3.53418
yolo26n,32,4,515.872,7.74603,8.55371
yolo26n,32,8,430.801,18.5391,19.2817
yolo26s,1,1,1878.57,0.530802,0.531738
yolo26s,1,2,2802.93,0.712025,0.720947
yolo26s,1,4,3911.09,0.998961,1.04639
yolo26s,1,8,4510.92,1.75208,1.85059
yolo26s,8,1,824.251,1.21173,1.21448
yolo26s,8,2,904.888,2.20862,2.2915
yolo26s,8,4,886.7,4.50734,4.84277
yolo26s,8,8,793.174,10.0736,10.5522
yolo26s,16,1,484.233,2.06363,2.06885
yolo26s,16,2,500.544,3.99359,4.08643
yolo26s,16,4,444.254,8.99401,9.69238
yolo26s,16,8,387.064,20.6294,21.2532
yolo26s,32,1,235.306,4.24827,4.27417
yolo26s,32,2,231.61,8.63061,8.80933
yolo26s,32,4,205.787,19.4127,19.8716
yolo26s,32,8,188.992,42.2416,43.1318
