epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1494.25,2.01004,2.40062,0.0095,0.53718,0.36702,0.38451,0.20643,1.73861,1.5458,0.01073,0.00999767,0.00333256,0.00999767,0.00333256,0.00999767,0.00333256,0.00999767,0.00333256
2,2954.89,1.96598,1.62577,0.0092,0.62085,0.43971,0.47763,0.26486,1.68981,1.36387,0.01037,0.0197502,0.0065834,0.0197502,0.0065834,0.0197502,0.0065834,0.0197502,0.0065834
3,4417.53,1.99816,1.62441,0.0095,0.63462,0.45023,0.49282,0.27745,1.66103,1.34301,0.01013,0.0292552,0.00975174,0.0292552,0.00975174,0.0292552,0.00975174,0.0292552,0.00975174
4,5880.97,1.98991,1.5905,0.00951,0.65644,0.46446,0.51533,0.29535,1.62392,1.30591,0.00985,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,7345.24,1.95804,1.52581,0.00925,0.66829,0.46973,0.52507,0.3032,1.60733,1.29078,0.00972,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,8805.78,1.94411,1.49522,0.00915,0.6724,0.47037,0.5282,0.30631,1.59832,1.28697,0.00966,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,10269.9,1.93367,1.47241,0.00907,0.68003,0.47195,0.53235,0.30913,1.59214,1.28126,0.00961,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,12317.6,1.92699,1.45945,0.00903,0.68292,0.47672,0.53809,0.31369,1.58479,1.27176,0.00956,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,14846,1.92303,1.44777,0.009,0.68439,0.4818,0.54316,0.31715,1.57793,1.25942,0.00951,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,17098.5,1.91715,1.43676,0.00896,0.69246,0.48551,0.54984,0.32252,1.57234,1.24159,0.00946,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
