epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2891.19,1.80537,1.6471,0.00916,0.69009,0.49264,0.54862,0.29417,1.83252,1.28679,0.01205,0.00999883,0.00333294,0.00999883,0.00333294,0.00999883,0.00333294,0.00999883,0.00333294
2,5780.66,1.71337,1.2629,0.00856,0.73911,0.53301,0.59925,0.32795,1.79132,1.16338,0.01182,0.0199939,0.00666465,0.0199939,0.00666465,0.0199939,0.00666465,0.0199939,0.00666465
3,8671.63,1.74226,1.27675,0.00879,0.74496,0.38859,0.48915,0.2721,1.84216,1.69012,0.01229,0.0299695,0.00998984,0.0299695,0.00998984,0.0299695,0.00998984,0.0299695,0.00998984
4,11574.8,1.71961,1.22711,0.00867,0.76181,0.15944,0.27312,0.1473,1.98116,2.57302,0.01344,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,14993.9,1.67338,1.15487,0.0083,0.69727,0.38888,0.46546,0.25922,1.85324,1.63545,0.01235,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,17883.8,1.65134,1.1239,0.00817,0.73332,0.48822,0.56559,0.32009,1.77494,1.26804,0.01183,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,21175.9,1.64042,1.10691,0.00807,0.74959,0.52147,0.5984,0.33785,1.75219,1.16122,0.01167,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,24565.7,1.63282,1.09437,0.00804,0.76085,0.5335,0.61213,0.34476,1.74674,1.12253,0.01163,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,27550.6,1.62523,1.08491,0.00799,0.75943,0.54317,0.6184,0.34869,1.74116,1.1093,0.01159,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,30564.1,1.61965,1.0779,0.00795,0.7619,0.54476,0.61956,0.3499,1.73563,1.09867,0.01153,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,33635.2,1.61502,1.07157,0.00793,0.76085,0.54933,0.62138,0.34997,1.73626,1.09266,0.01156,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,36526.6,1.60957,1.06432,0.00789,0.77189,0.54882,0.62725,0.35426,1.73398,1.08637,0.01156,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,39417.2,1.60773,1.05962,0.00786,0.77062,0.5544,0.63063,0.35631,1.73466,1.08273,0.01157,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,42487.1,1.60472,1.05646,0.00783,0.77876,0.55304,0.63231,0.35678,1.73251,1.08444,0.01156,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,45489.9,1.60072,1.05188,0.00783,0.78345,0.55136,0.63221,0.35608,1.73357,1.07914,0.01157,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,48422.6,1.59708,1.04431,0.0078,0.77631,0.55458,0.6326,0.35594,1.73405,1.07605,0.01156,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,51330.1,1.59215,1.03837,0.0078,0.77878,0.5533,0.63246,0.3561,1.73404,1.06951,0.01158,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,54231.8,1.59251,1.03663,0.00775,0.77723,0.55537,0.63312,0.35649,1.73221,1.0675,0.01157,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,58378.7,1.58785,1.03422,0.00773,0.77665,0.55495,0.63308,0.3573,1.73062,1.07032,0.01156,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,61801.7,1.58359,1.02866,0.00774,0.77874,0.5548,0.63269,0.35647,1.73196,1.06619,0.01158,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,64914.3,1.57878,1.02414,0.00771,0.78112,0.55405,0.63293,0.35716,1.72979,1.06665,0.01156,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,67810.7,1.57841,1.02172,0.00769,0.77796,0.558,0.63494,0.35779,1.7293,1.06616,0.01154,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,70711.4,1.57574,1.01778,0.00764,0.77813,0.56214,0.63623,0.35766,1.73131,1.06167,0.01155,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,73740.7,1.57273,1.01466,0.00762,0.78318,0.56137,0.63738,0.35833,1.72879,1.06002,0.01153,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,76641,1.56625,1.00921,0.00763,0.78576,0.56168,0.63879,0.35859,1.73,1.05898,0.01156,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,80065.8,1.56684,1.00824,0.0076,0.78811,0.56153,0.63952,0.35933,1.73176,1.05728,0.01159,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,83427,1.56264,1.00293,0.00758,0.79211,0.56194,0.6412,0.36013,1.73325,1.05366,0.01162,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,86552.4,1.56226,1.00049,0.00756,0.78331,0.56239,0.6392,0.35931,1.73345,1.05551,0.01161,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,89695.8,1.55536,0.99412,0.00753,0.78634,0.56464,0.64113,0.36027,1.73077,1.05084,0.01158,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,92716.5,1.55494,0.99084,0.0075,0.78838,0.56281,0.6407,0.36039,1.7296,1.05896,0.01156,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,95627.4,1.54791,0.98576,0.00749,0.78701,0.56462,0.64064,0.36076,1.72876,1.05986,0.01156,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,98536.1,1.54177,0.98,0.00746,0.79147,0.56415,0.64238,0.36224,1.72743,1.05037,0.01154,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,101498,1.54365,0.97747,0.00743,0.78875,0.56641,0.6436,0.36275,1.72777,1.0516,0.01155,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,104490,1.53708,0.97277,0.00741,0.79042,0.56484,0.64384,0.36323,1.72611,1.05,0.01153,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,107416,1.53516,0.96891,0.00737,0.78837,0.56776,0.64442,0.36439,1.72443,1.05217,0.01152,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,110319,1.52893,0.96442,0.00736,0.78733,0.5681,0.64454,0.36466,1.7236,1.0577,0.01151,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,113362,1.5257,0.96108,0.00734,0.78972,0.56734,0.64493,0.36447,1.72421,1.05943,0.01152,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,116279,1.52064,0.95496,0.00729,0.79351,0.56615,0.64489,0.36426,1.72777,1.05311,0.01156,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,119326,1.51878,0.95339,0.00728,0.7908,0.56799,0.64522,0.36455,1.72619,1.05046,0.01154,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,122261,1.5129,0.94597,0.00726,0.78981,0.56833,0.64439,0.36394,1.72442,1.05086,0.01152,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
